Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,2726.370117,2744.270020,2717.939941,2738.310059,2738.310059,3623320000
2018-11-06,2738.399902,2756.820068,2737.080078,2755.449951,2755.449951,3510860000
2018-11-07,2774.129883,2815.149902,2774.129883,2813.889893,2813.889893,3914750000
2018-11-08,2806.379883,2814.750000,2794.989990,2806.830078,2806.830078,3630490000
2018-11-09,2794.100098,2794.100098,2764.239990,2781.010010,2781.010010,4019090000
2018-11-12,2773.929932,2775.989990,2722.000000,2726.219971,2726.219971,3670930000
2018-11-13,2730.050049,2754.600098,2714.979980,2722.179932,2722.179932,4091440000
2018-11-14,2737.899902,2746.800049,2685.750000,2701.580078,2701.580078,4402370000
2018-11-15,2693.520020,2735.379883,2670.750000,2730.199951,2730.199951,4179140000
2018-11-16,2718.540039,2746.750000,2712.159912,2736.270020,2736.270020,3975180000
2018-11-19,2730.739990,2733.159912,2681.090088,2690.729980,2690.729980,3772900000
2018-11-20,2654.600098,2669.439941,2631.520020,2641.889893,2641.889893,4357900000
2018-11-21,2657.739990,2670.729980,2649.820068,2649.929932,2649.929932,3233550000
2018-11-23,2633.360107,2647.550049,2631.090088,2632.560059,2632.560059,1651650000
2018-11-26,2649.969971,2674.350098,2649.969971,2673.449951,2673.449951,3443950000
2018-11-27,2663.750000,2682.530029,2655.889893,2682.169922,2682.169922,3485220000
2018-11-28,2691.449951,2744.000000,2684.379883,2743.790039,2743.790039,3951670000
2018-11-29,2736.969971,2753.750000,2722.939941,2737.800049,2737.800049,3560770000
2018-11-30,2737.760010,2760.879883,2732.760010,2760.169922,2760.169922,4658580000
2018-12-03,2790.500000,2800.179932,2773.379883,2790.370117,2790.370117,4186060000
2018-12-04,2782.429932,2785.929932,2697.179932,2700.060059,2700.060059,4499840000
2018-12-06,2663.510010,2696.149902,2621.530029,2695.949951,2695.949951,5141470000
2018-12-07,2691.260010,2708.540039,2623.139893,2633.080078,2633.080078,4216690000
2018-12-10,2630.860107,2647.510010,2583.229980,2637.719971,2637.719971,4151030000
2018-12-11,2664.439941,2674.350098,2621.300049,2636.780029,2636.780029,3905870000
2018-12-12,2658.229980,2685.439941,2650.260010,2651.070068,2651.070068,3958890000
2018-12-13,2658.699951,2670.189941,2637.270020,2650.540039,2650.540039,3927720000
2018-12-14,2629.679932,2635.070068,2593.840088,2599.949951,2599.949951,4035020000
2018-12-17,2590.750000,2601.129883,2530.540039,2545.939941,2545.939941,4616350000
2018-12-18,2559.899902,2573.989990,2528.709961,2546.159912,2546.159912,4470880000
2018-12-19,2547.050049,2585.290039,2488.959961,2506.959961,2506.959961,5127940000
2018-12-20,2496.770020,2509.629883,2441.179932,2467.419922,2467.419922,5585780000
2018-12-21,2465.379883,2504.409912,2408.550049,2416.620117,2416.620117,7609010000
2018-12-24,2400.560059,2410.340088,2351.100098,2351.100098,2351.100098,2613930000
2018-12-26,2363.120117,2467.760010,2346.580078,2467.699951,2467.699951,4233990000
2018-12-27,2442.500000,2489.100098,2397.939941,2488.830078,2488.830078,4096610000
2018-12-28,2498.770020,2520.270020,2472.889893,2485.739990,2485.739990,3702620000
2018-12-31,2498.939941,2509.239990,2482.820068,2506.850098,2506.850098,3442870000
2019-01-02,2476.959961,2519.489990,2467.469971,2510.030029,2510.030029,3733160000
2019-01-03,2491.919922,2493.139893,2443.959961,2447.889893,2447.889893,3822860000
2019-01-04,2474.330078,2538.070068,2474.330078,2531.939941,2531.939941,4213410000
2019-01-07,2535.610107,2566.159912,2524.560059,2549.689941,2549.689941,4104710000
2019-01-08,2568.110107,2579.820068,2547.560059,2574.409912,2574.409912,4083030000
2019-01-09,2580.000000,2595.320068,2568.889893,2584.959961,2584.959961,4052480000
2019-01-10,2573.510010,2597.820068,2562.020020,2596.639893,2596.639893,3704500000
2019-01-11,2588.110107,2596.270020,2577.399902,2596.260010,2596.260010,3434490000
2019-01-14,2580.310059,2589.320068,2570.409912,2582.610107,2582.610107,3664450000
2019-01-15,2585.100098,2613.080078,2585.100098,2610.300049,2610.300049,3572330000
2019-01-16,2614.750000,2625.760010,2612.679932,2616.100098,2616.100098,3863770000
2019-01-17,2609.280029,2645.060059,2606.360107,2635.959961,2635.959961,3772270000
2019-01-18,2651.270020,2675.469971,2647.580078,2670.709961,2670.709961,3986730000
2019-01-22,2657.879883,2657.879883,2617.270020,2632.899902,2632.899902,3908030000
2019-01-23,2643.479980,2653.189941,2612.860107,2638.699951,2638.699951,3335610000
2019-01-24,2638.840088,2647.199951,2627.010010,2642.330078,2642.330078,3433250000
2019-01-25,2657.439941,2672.379883,2657.330078,2664.760010,2664.760010,3814080000
2019-01-28,2644.969971,2644.969971,2624.060059,2643.850098,2643.850098,3612810000
2019-01-29,2644.889893,2650.929932,2631.050049,2640.000000,2640.000000,3504200000
2019-01-30,2653.620117,2690.439941,2648.340088,2681.050049,2681.050049,3867810000
2019-01-31,2685.489990,2708.949951,2678.649902,2704.100098,2704.100098,4917650000
2019-02-01,2702.320068,2716.659912,2696.879883,2706.530029,2706.530029,3759270000
2019-02-04,2706.489990,2724.989990,2698.750000,2724.870117,2724.870117,3359840000
2019-02-05,2728.340088,2738.979980,2724.030029,2737.699951,2737.699951,3560430000
2019-02-06,2735.050049,2738.080078,2724.149902,2731.610107,2731.610107,3472690000
2019-02-07,2717.530029,2719.320068,2687.260010,2706.050049,2706.050049,4099490000
2019-02-08,2692.360107,2708.070068,2681.830078,2707.879883,2707.879883,3622330000
2019-02-11,2712.399902,2718.050049,2703.790039,2709.800049,2709.800049,3361970000
2019-02-12,2722.610107,2748.189941,2722.610107,2744.729980,2744.729980,3827770000
2019-02-13,2750.300049,2761.850098,2748.629883,2753.030029,2753.030029,3670770000
2019-02-14,2743.500000,2757.899902,2731.229980,2745.729980,2745.729980,3836700000
2019-02-15,2760.239990,2775.659912,2760.239990,2775.600098,2775.600098,3641370000
2019-02-19,2769.280029,2787.330078,2767.290039,2779.760010,2779.760010,3533710000
2019-02-20,2779.050049,2789.879883,2774.060059,2784.699951,2784.699951,3835450000
2019-02-21,2780.239990,2781.580078,2764.550049,2774.879883,2774.879883,3559710000
2019-02-22,2780.669922,2794.199951,2779.110107,2792.669922,2792.669922,3427810000
2019-02-25,2804.350098,2813.489990,2794.989990,2796.110107,2796.110107,3804380000
2019-02-26,2792.360107,2803.120117,2789.469971,2793.899902,2793.899902,3645680000
2019-02-27,2787.500000,2795.760010,2775.129883,2792.379883,2792.379883,3767130000
2019-02-28,2788.110107,2793.729980,2782.510010,2784.489990,2784.489990,4396930000
2019-03-01,2798.219971,2808.020020,2787.379883,2803.689941,2803.689941,3972280000
2019-03-04,2814.370117,2816.879883,2767.659912,2792.810059,2792.810059,3919810000
2019-03-05,2794.409912,2796.439941,2782.969971,2789.649902,2789.649902,3585690000
2019-03-06,2790.270020,2790.270020,2768.689941,2771.449951,2771.449951,3786600000
2019-03-07,2766.530029,2767.250000,2739.090088,2748.929932,2748.929932,3904860000
2019-03-08,2730.790039,2744.129883,2722.270020,2743.070068,2743.070068,3423130000
2019-03-11,2747.610107,2784.000000,2747.610107,2783.300049,2783.300049,3749030000
2019-03-12,2787.340088,2798.320068,2786.729980,2791.520020,2791.520020,3414230000
2019-03-13,2799.780029,2821.239990,2799.780029,2810.919922,2810.919922,3766150000
